season,celebrity_name,ballroom_partner,week,score_week_total,num_judges,has_bonus,active,elimination_week,eliminated,finals_week,placement,results,age,industry_dummy,z_J,p_prev,underdog,S,region_us,log_f_ratio,f
1,Evander Holyfield,Edyta Sliwinska,1,18.0,3,0,1,3.0,0,5,5,Eliminated Week 3,42,0,0.9,0.0,1.0,-0.06726727939963172,1,-0.23947710280599815,0.12744593756076764
1,Evander Holyfield,Edyta Sliwinska,2,14.0,3,0,1,3.0,0,5,5,Eliminated Week 3,42,0,0.5384615384615384,4.5,1.0,-1.5194078903533865,1,-0.8305320901533797,0.0578699466199206
1,Evander Holyfield,Edyta Sliwinska,3,13.0,3,0,1,3.0,1,5,5,Eliminated Week 3,42,0,0.5,6.0,1.0,-1.8446772097299746,1,-1.4372665828949387,0.03640004506119524
1,Joey McIntyre,Ashly DelGrosso,1,20.0,3,0,1,6.0,0,5,3,3rd Place,32,0,1.0,0.0,0.0,0.7399400733959433,1,0.3297942596100978,0.22519430739795124
1,Joey McIntyre,Ashly DelGrosso,2,21.0,3,0,1,6.0,0,5,3,3rd Place,32,0,0.8076923076923077,2.0,0.0,0.20532539058829513,1,0.8084425319876426,0.2980236409222555
1,Joey McIntyre,Ashly DelGrosso,3,22.0,3,0,1,6.0,0,5,3,3rd Place,32,0,0.8461538461538461,3.0,1.0,0.17996850826633917,1,0.3377175546275303,0.21476709247053394
1,Joey McIntyre,Ashly DelGrosso,4,20.0,3,0,1,6.0,0,5,3,3rd Place,32,0,0.7692307692307693,3.0,1.0,-1.1766968108291043,1,-0.17958553289905685,0.18659735742341285
1,Joey McIntyre,Ashly DelGrosso,5,22.5,3,1,1,6.0,0,5,3,3rd Place,32,0,0.8333333333333334,4.0,1.0,-0.9502552681394955,1,-0.38611665167544185,0.19143593974392423
1,John O'Hurley,Charlotte Jorgensen,1,20.0,3,0,1,7.0,0,5,2,2nd Place,50,1,1.0,0.0,0.0,0.7399400733959433,1,-0.3374078412520534,0.11555672293839431
1,John O'Hurley,Charlotte Jorgensen,2,26.0,3,0,1,7.0,0,5,2,2nd Place,50,1,1.0,2.0,0.0,1.4372777341180678,1,0.33595843047801055,0.18580332351297335
1,John O'Hurley,Charlotte Jorgensen,3,24.0,3,0,1,7.0,0,5,2,2nd Place,50,1,0.9230769230769231,1.0,0.0,0.6298897789321867,1,0.5886317581606576,0.2760186272959343
1,John O'Hurley,Charlotte Jorgensen,4,21.0,3,0,1,7.0,0,5,2,2nd Place,50,1,0.8076923076923077,2.0,1.0,-0.7844645405527362,1,-0.4485034657728204,0.14259881439158986
1,John O'Hurley,Charlotte Jorgensen,5,27.0,3,0,1,7.0,0,5,2,2nd Place,50,1,1.0,3.0,0.0,1.3821894809301767,1,-0.4036746165623562,0.1881040504299859
1,John O'Hurley,Charlotte Jorgensen,6,27.0,3,0,1,7.0,0,5,2,2nd Place,50,1,0.9818181818181818,1.0,1.0,-1.0,1,-0.25410208707978954,0.3756146032934852
1,Kelly Monaco,Alec Mazo,1,13.0,3,0,1,7.0,0,5,1,1st Place,29,1,0.65,0.0,1.0,-2.085285661388569,1,-0.08575549639014557,0.14862314323213452
1,Kelly Monaco,Alec Mazo,2,17.0,3,0,1,7.0,0,5,1,1st Place,29,1,0.6538461538461539,6.0,1.0,-0.7802364842355229,1,-0.8458571371445673,0.05698984796989184
1,Kelly Monaco,Alec Mazo,3,21.0,3,0,1,7.0,0,5,1,1st Place,29,1,0.8076923076923077,5.0,1.0,-0.04499212706658459,1,-0.3595222102388976,0.10694496809034089
